from,to,distance
5716271,178313374,0.025146094532003636
5716271,672181343,0.05590728015584745
178313374,178313375,0.05661124487691337
178313374,5716271,0.025146094532003636
5716420,672181384,0.41403642280676856
5716420,672181398,0.2732978842946594
5716420,82485886,0.242659392038519
5716420,5718759,0.447807588052427
5718759,5716420,0.447807588052427
5718759,5718765,0.21171429698636696
672181384,352840642,0.42470151186984434
672181384,5716420,0.41403642280676856
672181384,175532392,0.16689944253325698
672181384,672181398,0.22265745717713478
672181384,82485886,0.31030855974139104
672181398,5716420,0.2732978842946594
672181398,672181384,0.22265745717713478
672181398,672181394,0.12727736136111578
672181398,672181331,0.2021236374181253
672181398,82485886,0.32518174227778684
82485886,672181384,0.31030855974139104
82485886,5716420,0.242659392038519
82485886,82485885,0.11684017227292834
82485886,672181398,0.32518174227778684
5716816,672181450,0.5004564977576422
5716816,53257978,0.29946754595398023
53257978,5716816,0.29946754595398023
53257978,53192313,0.4118254789380027
5716849,672181476,0.07890272910758518
5716849,111646270,0.16225150519820697
5716849,5719372,0.16019603485978176
672181476,5716849,0.07890272910758518
672181476,672181477,0.06869097814539195
672181476,111646270,0.1733928066107721
672181476,672181479,0.007372672548008195
111646270,111646272,0.2932493271029607
111646270,5716849,0.16225150519820697
111646270,111646275,0.2969645505275125
111646270,672181476,0.1733928066107721
5719372,5716849,0.16019603485978176
5719372,595525338,0.0751139107275351
5719372,672181474,0.0753008387488858
5716856,139199353,0.6206499310763418
5716856,672181331,0.657262596365513
5716856,672181332,0.400517097884076
5716856,139470095,0.45535806436739046
672181332,5716856,0.400517097884076
672181332,5717769,0.48670426604318073
672181332,672181333,0.3558388898267735
672181332,139470095,0.5345231954658091
139470095,5716856,0.45535806436739046
139470095,672181332,0.5345231954658091
139470095,5718765,0.45381440734346506
139199353,5716856,0.6206499310763418
139199353,5717769,0.5507447697948553
139199353,672181331,0.2064330358738036
139199353,672181334,0.38567564343326843
672181331,5716856,0.657262596365513
672181331,139199353,0.2064330358738036
672181331,672181394,0.1528187252864275
672181331,672181398,0.2021236374181253
139644920,671005485,0.18045633796361746
139644920,5716989,1.0250806646467627
5716989,139644920,1.0250806646467627
5716989,671005476,0.820456783728257
5716989,85135663,0.7169749221473024
671005476,671005479,0.08358143515516998
671005476,5716989,0.820456783728257
671005476,85135663,0.1168481456278775
85135663,671005477,0.0718729612916709
85135663,671005476,0.1168481456278775
85135663,5716989,0.7169749221473024
5717206,5717598,0.06161026231321607
5717206,5717983,0.08520535745223633
5717983,825073800,0.07888019433074961
