1507,0,0,12003,4,240,381,nghmp,385,42.937336,-78.903786,1596276733,12,12003,0,2013,
1514,0,0,8001,4,99999,9999,socam,375,42.954140,-78.820518,1596276697,8,8001,0,2008,
1518,0,0,8002,4,-360,386,socam,380,42.958485,-78.845314,1596276751,8,8002,0,2011,
1601,0,0,20002,4,0,377,orch,377,42.988461,-78.873192,1596276682,20,20002,0,3007,
1605,0,0,3002,4,-120,372,ellop,370,42.882584,-78.872185,1596276765,3,3002,0,3005,
1610,16,20,14001,0,0,374,abtba,374,42.859184,-78.835709,1596276747,14,14001,0,1004,
1611,0,0,2001,4,240,378,fern,382,42.871613,-78.796104,1596276772,2,2001,0,1009,
1615,0,0,16002,4,99999,9999,mowsh,380,42.888031,-78.872597,1596276774,16,16002,0,1011,
1621,50,19,50001,0,-240,383,bfhyd,379,43.089577,-78.967140,1596276760,50,50001,0,3002,
1624,23,19,23002,0,-60,376,hrtpk,375,42.947704,-78.867157,1596276760,23,23002,0,2006,
1701,0,0,25002,4,0,384,tonvl,384,42.959034,-78.890129,1596276749,25,25002,0,3014,
1702,19,20,19001,0,0,374,bdyba,374,42.889652,-78.814117,1596276753,19,19001,0,1003,
1705,0,0,12002,4,-360,391,ctyli,385,42.958542,-78.888863,1596276758,12,12002,0,2012,
1707,0,0,13001,4,0,375,wtfrt,375,42.880112,-78.882790,1596276708,13,13001,0,2007,
1708,0,0,24002,4,180,377,marmn,380,42.877277,-78.877769,1596276717,24,24002,0,2009,
1709,0,0,15001,4,0,375,sogat,375,42.827805,-78.754486,1596276738,15,15001,0,1006,
1711,0,0,5002,4,0,385,ellop,385,42.920013,-78.900177,1596276695,5,5002,0,3008,
1716,0,0,40002,4,240,386,tcbfl,390,42.915226,-78.901550,1596276769,40,40002,0,3012,
1801,6,19,6001,0,-180,381,wldba,378,42.903542,-78.783371,1596276735,6,6001,0,1001,
1802,13,20,12001,0,0,385,socam,385,42.955158,-78.820259,1596276771,12,12001,0,2002,
1810,23,20,23001,0,-240,375,bdyfl,371,42.883354,-78.839203,1596276764,23,23001,0,2004,
1811,5,19,3001,0,-180,375,dlwkn,372,42.958595,-78.848289,1596276668,3,3001,0,3003,
1812,24,20,24001,0,0,380,airpt,380,42.934147,-78.730629,1596276671,24,24001,0,2001,
1905,0,0,4002,4,-360,379,tcbfl,373,42.887203,-78.886848,1596276773,4,4002,0,1010,
1910,40,20,40001,0,-360,376,giplz,370,42.997673,-78.934944,1596276680,40,40001,0,3001,
1911,19,19,19002,0,-60,379,bagen,378,42.934616,-78.813744,1596276727,19,19002,0,1005,
1912,16,19,16001,0,-60,374,splke,373,42.790295,-78.823799,1596276746,16,16001,0,1002,
1914,0,0,13002,4,-180,378,utica,375,42.927769,-78.851486,1596276726,13,13002,0,2010,
1915,0,0,20001,4,0,375,ellop,375,42.882530,-78.872040,1596276661,20,20001,0,3006,
1916,0,0,25001,4,300,378,mnngr,383,43.020554,-78.879517,1596276772,25,25001,0,3010,
1919,0,0,55001,4,-180,394,nfia,391,42.981281,-78.885284,1596276758,55,55001,0,3009,
1922,0,0,3003,4,99999,9999,ellop,395,42.959476,-78.890648,1596276754,3,3003,0,3013,
2612,26,19,26002,0,-600,378,gnhar,368,42.918526,-78.784492,1596276765,26,26002,0,2005,
2618,12,19,26001,0,-60,378,filut,377,42.914703,-78.817169,1596276765,26,26001,0,2003,
2619,5,20,5001,0,-300,377,ngvrg,372,42.884731,-78.877281,1596276755,5,5001,0,3004,
2623,0,0,4001,4,-240,379,michl,375,42.884949,-78.814453,1596276716,4,4001,0,1008,
8236,45,99,45236,99,99999,9999,,9999,99.000000,999.000000,1596275328,45,50024,0,45236,
8237,45,99,45237,99,99999,9999,,9999,42.890507,-78.886810,1596276736,45,50025,0,45237,
8238,45,99,45238,99,99999,9999,,9999,42.948914,-78.802025,1596276715,45,52026,0,45238,
8239,45,99,45239,99,99999,9999,,9999,42.910252,-78.789963,1596276657,45,52027,0,45239,
