Road ID,00:00 - 00:14,00:15 - 00:29,00:30 - 00:44,00:45 - 00:59,01:00 - 01:14,01:15 - 01:29,01:30 - 01:44,01:45 - 01:59,02:00 - 02:14,02:15 - 02:29,02:30 - 02:44,02:45 - 02:59,03:00 - 03:14,03:15 - 03:29,03:30 - 03:44,03:45 - 03:59,04:00 - 04:14,04:15 - 04:29,04:30 - 04:44,04:45 - 04:59,05:00 - 05:14,05:15 - 05:29,05:30 - 05:44,05:45 - 05:59,06:00 - 06:14,06:15 - 06:29,06:30 - 06:44,06:45 - 06:59,07:00 - 07:14,07:15 - 07:29,07:30 - 07:44,07:45 - 07:59,08:00 - 08:14,08:15 - 08:29,08:30 - 08:44,08:45 - 08:59,09:00 - 09:14,09:15 - 09:29,09:30 - 09:44,09:45 - 09:59,10:00 - 10:14,10:15 - 10:29,10:30 - 10:44,10:45 - 10:59,11:00 - 11:14,11:15 - 11:29,11:30 - 11:44,11:45 - 11:59,12:00 - 12:14,12:15 - 12:29,12:30 - 12:44,12:45 - 12:59,13:00 - 13:14,13:15 - 13:29,13:30 - 13:44,13:45 - 13:59,14:00 - 14:14,14:15 - 14:29,14:30 - 14:44,14:45 - 14:59,15:00 - 15:14,15:15 - 15:29,15:30 - 15:44,15:45 - 15:59,16:00 - 16:14,16:15 - 16:29,16:30 - 16:44,16:45 - 16:59,17:00 - 17:14,17:15 - 17:29,17:30 - 17:44,17:45 - 17:59,18:00 - 18:14,18:15 - 18:29,18:30 - 18:44,18:45 - 18:59,19:00 - 19:14,19:15 - 19:29,19:30 - 19:44,19:45 - 19:59,20:00 - 20:14,20:15 - 20:29,20:30 - 20:44,20:45 - 20:59,21:00 - 21:14,21:15 - 21:29,21:30 - 21:44,21:45 - 21:59,22:00 - 22:14,22:15 - 22:29,22:30 - 22:44,22:45 - 22:59,23:00 - 23:14,23:15 - 23:29,23:30 - 23:44,23:45 - 23:59
4350444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4350451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.124349854278506,0,44.77188746659216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.06695736092851,0,52.994500125656174,48.344582647544016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4374873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4374883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.901803570874506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.857927705447269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4374894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4374895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.54733169340114,0,0,0,0,36.97248935957569,0,48.20902305185652,0,0,35.30191664176394,0,0,0,0,0,0,0,0,29.242156901982646,0,33.06768456538857,0,0,0,0,46.0870811203734,0,48.267476261699755,43.1874534173549,0,0,0,0,0,36.42154791096134,32.192976503662386,0,0,0,0,0,0,32.79314542547858,0,30.448897223696378,21.394490840616726,0,0,15.369218037210732,0,31.436125657544117,33.33464627751473,33.26587786016898,0,0,0,0,0,0,32.65971147555029,0,0,0,0,46.152235317277686,0,0,0,0,0,0,0,0
5715172,0,30.345779007645824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.225771746349203,0,0,0,0,0,0,25.923342611535134,0,0,0,28.624094575965877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.54356319435756,0,0,0,0,32.61441626263893,0,0,0,0,0,0,0,0,0,0,0,5.458152016293091,0,0,0,0,0,0,33.500123346405886,0,0,0,28.687875343073397,0,52.37874726404954,0,0,0,0,0,0,0,0,0,0
5715384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.414169014996688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5715438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.390441534612378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.52210004973244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5715918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.370056613217995,17.154271006196666,12.635434540671234,6.920558123908136,0,17.711155618462588,0,0,0,0,10.489277902120767,0,0,0,15.95510270212745,0,16.04981138966896,0,9.33142481327922,0,0,0,0,0,0,0,13.160693257306558,0,13.686748633207923,0,18.85596072271742,16.587687781927418,0,0,18.8537112938775,0,0,22.147801141747237,12.858058802994892,0,0,0,0,12.091903981853742,0,0,0,15.393304165713358,12.527345367378544,0,0,22.750242961036093,13.804331214394328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5715947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.625834271725937,0,0.015388904225129781,3.7613721880624515,5.79344215213953,7.972324437120952,0,0,0,8.080861589321877,6.152422592640501,0,2.3473115296875653,0,0,0,0,12.127884953738969,0,0,0,0,0,0,0,0,6.49333953559751,6.547786056477101,1.4676351498641957,0,7.66894196689914,0,0,0,0,0,0,0,0,0,0,14.803874172168548,0,0,0,13.419068739719613,10.522244388003488,0,0,0,10.59471256842909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5716002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5716160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.334839468567637,0,0,0,19.492085238362225,0,0,0,23.139061658312585,0,13.336878284697944,0,0,0,0,0,0,0,0,17.924412846842497,0,0,0,0,0,18.544839334488614,0,0,14.37698060143342,0,0,0,17.18884716830066,27.47406012790028,0,0,19.26172384401447,0,0,0,0,0,0,0,26.367338643777682,0,0,0,0,0,0,21.822353490055846,24.81374817130591,0,23.401506086404247,0,0,0,0,0,0,25.711475390002857,0,16.626554263572363,0,0,0,0,0,17.9802028497304,0,0,0,0
5716271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5716420,0,14.11158702475982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.384118887908922,0,0,0,0,14.300096651884338,0,0,16.640709740329758,0,0,14.909335773540752,17.40898134248398,0,0,18.715872805278437,4.3271244917320715,0,7.078740982082604,0,17.086174806728515,7.6207092193217365,0,0,12.716046442351415,0,0,16.79086115069641,11.853563248828904,0,0,0,25.062816752078458,10.589839932718322,0,13.005245603211552,20.84521140678963,0,0,7.552988387233973,18.612053727399985,0,0,0,14.401203832572381,14.127917948232062,13.58945422141427,17.56872032175745,13.776980538417993,18.546141021644615,0,0,6.460532721814476,0,8.768775299496507,5.540950278244072,15.90900789266238,0,17.51784190153393,0,0,16.90783905968182,0,0,0,10.342031983714865,0,0,6.918350930525193,0,0,0,22.14584110368,0,0,0
5716816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.547737921447133,0,0,16.28802661102575,13.940216645490453,0,0,19.574032017166335,15.74853937430008,0,0,0,12.594883813605605,0,0,17.231252177231525,31.985136029250132,11.816091840457526,0,0,14.646724137479598,0,0,0,11.371299852837858,0,0,14.351070174337202,15.187148755746241,0,0,14.293877227416571,0,0,0,0,0,0,0,16.466410259693504,14.738574248522697,0,9.542674244481173,0,0,12.649387617868705,0,18.02230767044979,15.116239890166774,0,0,0,0,0,0,0,0,0,11.981061784442694,0,0,16.030391284572307,0,0,0,7.797102287914026,10.812723499982333,0,16.746367490337168,0,0,0,0,0
5716849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.674893271730358,0,0,0,0,11.280432412651031,0,0,12.879301746088512,0,0,13.724467173961063,0,0,0,0,0,17.11450579074287,0,0,0,0,0,0,0,0,0,0,10.91784182088409,0,0,0,0,16.823086845651773,0,0,0,11.084159604863576,17.21231511712272,0,13.939626223249372,0,0,18.89162976088852,0,0,0,0,0,9.149959873363745,0,0,27.98074675864067,0,0,0,0,0,0,0,0,13.827174510578516,0,0,0,0,0,0,0,0,0,0
5716856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5716989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.151609697291146,0,13.552099527720202,0,20.192188804849156,0,11.902041821750695,0,0,0,0,16.60803519853752,0,0,10.786481854831614,23.655423257477047,0,18.58598003284283,18.21788963398145,18.278936237265984,0,0,0,0,0,0,0,15.639151799492598,16.73736365979411,29.60600753397007,0,15.16240526972044,11.32111706156573,0,0,20.309486047028955,14.35926395530556,2.177292771126294,19.05854805089045,16.78648487989877,0,0,0,0,0,17.46957675260999,0,12.483780733212788,15.810019562747376,17.803212550040005,24.23757015509703,17.416626487431472,15.271000005307734,21.897728168281297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5717206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5717421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.257776504937112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5717598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.452116347132395,0,14.961354295336662,0,11.448094927098355,0,2.8909394526807013,9.915162372461179,0,12.294801341851862,0,0,0,0,0,0,0,0,0,0,0,0,18.318115197673414,0,0,0,0,0,0,0,0,0,0,13.015319373261086,0,0,0,0,0,7.67061228954985,0,0,0,0,0,0,9.196542297336824,13.685481173773336,0,0,7.570859525208123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5717701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.241096948501294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.070089863639794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5717769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5717809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.806521616968118,15.885809540477467,0,0,0,20.199145055335322,0,0,18.55294052667616,0,18.324882371552025,0,11.302925337341788,20.82948837114727,0,0,0,14.361459318239495,19.58232527666781,0,15.317715150244313,0,0,0,8.91850723985102,0,0,0,0,15.011615604691137,0,0,10.512175373490471,14.838851692187074,0,0,17.30904355002837,15.48228366578147,0,16.74543078750558,11.227160183394457,8.50533252767172,0,0,0,10.949862234056845,16.11412225147177,0,19.57624322071563,0,0,0,0,0,10.950026356513334,0,0,0,0,13.885138248433915,0,0,12.80625457444744,0,0,0,19.084749345487285,0,0,0,0
5717983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.23389805734827,0,0,0,0,0,0,0,0,0,0,0,16.397152892255306,0,0,0,0,5.886317011239794,0,0,0,0,0,0,0,0,0,14.145715253541958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.050322197476142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5718005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
